Name,Team,ShirtNumber,Opponent,Date,Position,Minutes,Shots,Goals,Assists,YellowCards,RedCards,PassSuccessPercentage,Rating
Romelu Lukaku,Roma,old (13-05-1993),Fiorentina,10-12-2023,FW,87,1,1,0,0,1,70.4,5.89
Romelu Lukaku,Roma,old (13-05-1993),Sassuolo,03-12-2023,FW,90,1,0,0,0,0,78.6,6.43
Romelu Lukaku,Roma,old (13-05-1993),Udinese,26-11-2023,FW,90,1,0,1,0,0,75,7.42
Romelu Lukaku,Roma,old (13-05-1993),Lazio,12-11-2023,FW,90,2,0,0,1,0,42.9,6.34
Romelu Lukaku,Roma,old (13-05-1993),Lecce,05-11-2023,FW,90,4,1,0,1,0,62.5,6.59
Romelu Lukaku,Roma,old (13-05-1993),Inter,29-10-2023,FW,90,0,0,0,0,0,73.7,6.25
Romelu Lukaku,Roma,old (13-05-1993),Monza,22-10-2023,FW,90,4,0,0,0,0,73.9,6.75
Romelu Lukaku,Roma,old (13-05-1993),Cagliari,08-10-2023,FW,90,4,2,0,0,0,68.8,8.59
Romelu Lukaku,Roma,old (13-05-1993),Frosinone,01-10-2023,FW,90,3,1,0,0,0,81.8,7.77
Romelu Lukaku,Roma,old (13-05-1993),Genoa,28-09-2023,FW,90,1,0,0,0,0,57.1,5.69
Romelu Lukaku,Roma,old (13-05-1993),Torino,24-09-2023,FW,90,4,1,0,0,0,83.3,7.76
